player_name,player_position,player_team,year,week,receptions,targets,receiving_yards,receiving_yards_per_reception,receiving_touchdowns,rushing_attempts,rushing_yards,rushing_yards_per_attempt,rushing_touchdowns,standard_points,half_ppr_points,ppr_points
Dexter McCluster,RB,FA,2010,1,2,4,9,4.5,0,1,0,0.0,0,0.0,1.9,0.0
Tony Richardson,RB,FA,2010,1,2,2,9,4.5,0,0,0,0.0,0,0.0,1.9,0.0
Isaac Redman,RB,FA,2010,1,0,0,0,0.0,0,6,19,3.2,0,0.0,1.9,0.0
Le'Ron McClain,RB,FA,2010,1,1,2,5,5.0,0,4,6,1.5,0,0.0,1.6,0.0
Jacob Hester,RB,FA,2010,1,2,2,6,3.0,0,0,0,0.0,0,0.0,1.6,0.0
Rock Cartwright,RB,FA,2010,1,1,2,10,10.0,0,0,0,0.0,0,0.0,1.5,0.0
Mewelde Moore,RB,FA,2010,1,2,2,3,1.5,0,1,0,0.0,0,0.0,1.3,0.0
Marshawn Lynch,RB,FA,2010,1,0,0,0,0.0,0,3,13,4.3,0,0.0,1.3,0.0
Tim Castille,RB,FA,2010,1,2,2,3,1.5,0,1,0,0.0,0,0.0,1.3,0.0
Jason Snelling,RB,FA,2010,1,1,1,4,4.0,0,2,4,2.0,0,0.0,1.3,0.0
Donald Brown,RB,FA,2010,1,1,3,7,7.0,0,0,0,0.0,0,0.0,1.2,0.0
Leon Washington,RB,FA,2010,1,0,0,0,0.0,0,6,12,2.0,0,0.0,1.2,0.0
Jonathan Stewart,RB,FA,2010,1,0,0,0,0.0,0,5,12,2.4,0,0.0,1.2,0.0
Darren Sproles,RB,FA,2010,1,2,3,2,1.0,0,4,0,0.0,0,0.0,1.2,0.0
Shonn Greene,RB,FA,2010,1,1,2,9,9.0,0,5,18,3.6,0,0.0,1.2,0.0
Heath Evans,RB,FA,2010,1,1,1,7,7.0,0,0,0,0.0,0,0.0,1.2,0.0
Larry Johnson,RB,FA,2010,1,0,0,0,0.0,0,3,9,3.0,0,0.0,0.9,0.0
Spencer Larsen,RB,FA,2010,1,1,1,4,4.0,0,0,0,0.0,0,0.0,0.9,0.0
Mike Karney,RB,FA,2010,1,1,1,2,2.0,0,1,2,2.0,0,0.0,0.9,0.0
Ahmard Hall,RB,FA,2010,1,1,1,3,3.0,0,0,0,0.0,0,0.0,0.8,0.0
Moran Norris,RB,FA,2010,1,1,2,2,2.0,0,1,1,1.0,0,0.0,0.8,0.0
Chris Gronkowski,RB,FA,2010,1,0,0,0,0.0,0,1,8,8.0,0,0.0,0.8,0.0
Jerome Felton,RB,FA,2010,1,0,1,0,0.0,0,2,7,3.5,0,0.0,0.7,0.0
Tashard Choice,RB,FA,2010,1,2,2,-2,-1.0,0,5,18,3.6,0,0.0,0.6,0.0
Greg Jones,RB,FA,2010,1,1,1,-1,-1.0,0,0,0,0.0,0,0.0,0.4,0.0
Earnest Graham,RB,FA,2010,1,1,1,8,8.0,0,6,10,1.7,0,0.0,0.3,0.0
Sammy Morris,RB,FA,2010,1,0,0,0,0.0,0,1,2,2.0,0,0.0,0.2,0.0
Kenneth Darby,RB,FA,2010,1,0,0,0,0.0,0,1,2,2.0,0,0.0,0.2,0.0
Dallas Clark,TE,FA,2010,1,11,13,80,7.3,1,0,0,0.0,0,0.0,19.5,0.0
Marcedes Lewis,TE,CHI,2010,1,2,2,31,15.5,2,0,0,0.0,0,0.0,16.1,0.0
Antonio Gates,TE,FA,2010,1,5,6,76,15.2,1,0,0,0.0,0,0.0,16.1,0.0
Visanthe Shiancoe,TE,FA,2010,1,4,7,76,19.0,1,0,0,0.0,0,0.0,15.6,0.0
Jermaine Gresham,TE,FA,2010,1,6,10,25,4.2,1,0,0,0.0,0,0.0,11.5,0.0
Vernon Davis,TE,FA,2010,1,8,12,73,9.1,0,0,0,0.0,0,0.0,11.3,0.0
Bo Scaife,TE,FA,2010,1,3,3,37,12.3,1,0,0,0.0,0,0.0,11.2,0.0
Chris Cooley,TE,FA,2010,1,6,9,80,13.3,0,0,0,0.0,0,0.0,11.0,0.0
Evan Moore,TE,FA,2010,1,3,5,87,29.0,0,0,0,0.0,0,0.0,10.2,0.0
Todd Heap,TE,FA,2010,1,6,11,72,12.0,0,0,0,0.0,0,0.0,10.2,0.0
Tony Moeaki,TE,FA,2010,1,3,4,21,7.0,1,0,0,0.0,0,0.0,9.6,0.0
Tony Scheffler,TE,FA,2010,1,6,7,43,7.2,0,0,0,0.0,0,0.0,7.3,0.0
Jermichael Finley,TE,FA,2010,1,4,6,47,11.8,0,0,0,0.0,0,0.0,6.7,0.0
Rob Gronkowski,TE,FA,2010,1,1,1,1,1.0,1,0,0,0.0,0,0.0,6.6,0.0
Zach Miller,TE,FA,2010,1,4,8,43,10.8,0,0,0,0.0,0,0.0,6.3,0.0
Anthony Fasano,TE,FA,2010,1,3,3,46,15.3,0,0,0,0.0,0,0.0,6.1,0.0
Heath Miller,TE,FA,2010,1,4,5,40,10.0,0,0,0,0.0,0,0.0,6.0,0.0
Kellen Winslow,TE,FA,2010,1,4,6,32,8.0,0,0,0,0.0,0,0.0,5.2,0.0
Delanie Walker,TE,FA,2010,1,3,4,27,9.0,0,1,10,10.0,0,0.0,5.2,0.0
John Carlson,TE,FA,2010,1,3,5,36,12.0,0,0,0,0.0,0,0.0,5.1,0.0
Aaron Hernandez,TE,FA,2010,1,1,2,45,45.0,0,0,0,0.0,0,0.0,5.0,0.0
Daniel Graham,TE,FA,2010,1,2,3,36,18.0,0,0,0,0.0,0,0.0,4.6,0.0
Tony Gonzalez,TE,FA,2010,1,2,5,35,17.5,0,0,0,0.0,0,0.0,4.5,0.0
Jason Witten,TE,FA,2010,1,3,8,27,9.0,0,0,0,0.0,0,0.0,4.2,0.0
