player_name,player_position,player_team,week,receptions,targets,receiving_yards,receiving_yards_per_reception,receiving_touchdowns,rushing_attempts,rushing_yards,rushing_yards_per_attempt,rushing_touchdowns,standard_points,half_ppr_points,ppr_points
Elijah Mitchell,RB,SF,11,0,0,0,0.0,0,4,24,6.0,0,0.0,2.4,0.0
Derrick Gore,RB,WAS,11,0,0,0,0.0,0,2,23,11.5,0,0.0,2.3,0.0
Aaron Jones,RB,GB,11,1,2,3,3.0,0,4,14,3.5,0,0.0,2.2,0.0
Tank Bigsby,RB,JAC,11,0,0,0,0.0,0,9,21,2.3,0,0.0,2.1,0.0
Kenneth Walker III,RB,SEA,11,1,1,-2,-2.0,0,4,18,4.5,0,0.0,2.1,0.0
Israel Abanikanda,RB,NYJ,11,1,2,5,5.0,0,1,11,11.0,0,0.0,2.1,0.0
Clyde Edwards-Helaire,RB,KC,11,0,0,0,0.0,0,2,20,10.0,0,0.0,2.0,0.0
Trayveon Williams,RB,CIN,11,0,0,0,0.0,0,2,20,10.0,0,0.0,2.0,0.0
DeeJay Dallas,RB,SEA,11,1,1,10,10.0,0,1,4,4.0,0,0.0,1.9,0.0
Joshua Kelley,RB,LAC,11,0,0,0,0.0,0,6,13,2.2,0,0.0,1.3,0.0
Dalvin Cook,RB,NYJ,11,0,1,0,0.0,0,2,13,6.5,0,0.0,1.3,0.0
Justice Hill,RB,BAL,11,1,1,6,6.0,0,1,1,1.0,0,0.0,1.2,0.0
Kenneth Gainwell,RB,PHI,11,1,1,4,4.0,0,1,1,1.0,0,0.0,1.0,0.0
De'Von Achane,RB,MIA,11,1,1,4,4.0,0,1,1,1.0,0,0.0,1.0,0.0
Mike Boone,RB,HOU,11,1,1,5,5.0,0,1,0,0.0,0,0.0,1.0,0.0
Pierre Strong Jr.,RB,CLE,11,1,1,4,4.0,0,1,1,1.0,0,0.0,1.0,0.0
Ameer Abdullah,RB,LV,11,1,1,4,4.0,0,0,0,0.0,0,0.0,0.9,0.0
Boston Scott,RB,PHI,11,0,0,0,0.0,0,2,8,4.0,0,0.0,0.8,0.0
George Kittle,TE,SF,11,8,9,89,11.1,1,0,0,0.0,0,0.0,18.9,0.0
Josh Oliver,TE,MIN,11,4,4,47,11.8,1,0,0,0.0,0,0.0,12.7,0.0
Travis Kelce,TE,KC,11,7,9,44,6.3,1,0,0,0.0,0,0.0,11.9,0.0
Stone Smartt,TE,LAC,11,1,3,51,51.0,1,0,0,0.0,0,0.0,11.6,0.0
Dalton Schultz,TE,HOU,11,2,3,32,16.0,1,0,0,0.0,0,0.0,10.2,0.0
Luke Schoonmaker,TE,DAL,11,2,2,23,11.5,1,0,0,0.0,0,0.0,9.3,0.0
David Njoku,TE,CLE,11,7,15,56,8.0,0,0,0,0.0,0,0.0,9.1,0.0
Donald Parham Jr.,TE,LAC,11,4,6,57,14.3,0,0,0,0.0,0,0.0,7.7,0.0
Dalton Kincaid,TE,BUF,11,6,7,46,7.7,0,0,0,0.0,0,0.0,7.6,0.0
T.J. Hockenson,TE,MIN,11,4,7,55,13.8,0,0,0,0.0,0,0.0,7.5,0.0
Cade Otton,TE,TB,11,4,5,49,12.3,0,0,0,0.0,0,0.0,6.9,0.0
Tommy Tremble,TE,CAR,11,1,3,4,4.0,1,0,0,0.0,0,0.0,6.9,0.0
Tanner Hudson,TE,CIN,11,4,4,49,12.3,0,0,0,0.0,0,0.0,6.9,0.0
Trey McBride,TE,ARI,11,5,7,43,8.6,0,0,0,0.0,0,0.0,6.8,0.0
Michael Mayer,TE,LV,11,4,5,46,11.5,0,0,0,0.0,0,0.0,6.6,0.0
Logan Thomas,TE,WAS,11,5,8,58,11.6,0,0,0,0.0,0,0.0,6.3,0.0
Sam LaPorta,TE,DET,11,3,5,18,6.0,0,0,0,0.0,0,0.0,5.3,0.0
Daniel Bellinger,TE,NYG,11,3,3,38,12.7,0,0,0,0.0,0,0.0,5.3,0.0
Evan Engram,TE,JAC,11,4,6,29,7.3,0,0,0,0.0,0,0.0,4.9,0.0
Luke Musgrave,TE,GB,11,4,6,28,7.0,0,0,0,0.0,0,0.0,4.8,0.0
Jake Ferguson,TE,DAL,11,3,5,32,10.7,0,0,0,0.0,0,0.0,4.7,0.0
Adam Trautman,TE,DEN,11,2,2,33,16.5,0,0,0,0.0,0,0.0,4.3,0.0
Tucker Kraft,TE,GB,11,2,2,32,16.0,0,0,0,0.0,0,0.0,4.2,0.0
Jeremy Ruckert,TE,NYJ,11,3,4,25,8.3,0,0,0,0.0,0,0.0,4.0,0.0
Cole Kmet,TE,CHI,11,3,4,20,6.7,0,0,0,0.0,0,0.0,3.5,0.0
Mark Andrews,TE,BAL,11,2,2,23,11.5,0,0,0,0.0,0,0.0,3.3,0.0
Luke Farrell,TE,JAC,11,2,2,21,10.5,0,0,0,0.0,0,0.0,3.1,0.0
Drew Sample,TE,CIN,11,2,2,19,9.5,0,0,0,0.0,0,0.0,2.9,0.0
Tyler Conklin,TE,NYJ,11,2,3,18,9.0,0,0,0,0.0,0,0.0,2.8,0.0
